id,timestamp,image_path,predicted_class,predicted_label,confidence,status,missing_items,corrected_class,corrected_label,notes,face_count,training_candidate,exported_for_training,created_at,workplace_id,model_version,device_id,detected_hamer,detected_schaar,detected_sleutel,total_detections,model_type
175,20251222_202216,uploads\inspect_20251222_202216.jpg,3,NOK - Schaar weg,0.5258157849311829,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 19:22:16,2,,Linux - Chrome,0,0,0,0,classification
174,20251222_202154,uploads\inspect_20251222_202154.jpg,2,NOK - Hamer weg,0.8266018629074097,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:21:54,2,,Linux - Chrome,0,0,0,0,classification
173,20251222_202136,uploads\inspect_20251222_202136.jpg,0,OK,0.9395214319229126,OK,[],,,,0,0,0,2025-12-22 19:21:36,2,,Linux - Chrome,0,0,0,0,classification
172,20251222_202116,uploads\inspect_20251222_202116.jpg,2,NOK - Hamer weg,0.7609121799468994,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:21:16,2,,Linux - Chrome,0,0,0,0,classification
171,20251222_202047,uploads\inspect_20251222_202047.jpg,3,NOK - Schaar weg,0.9840525388717651,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 19:20:47,2,,Linux - Chrome,0,0,0,0,classification
170,20251222_202015,uploads\inspect_20251222_202015.jpg,3,NOK - Schaar weg,0.531894326210022,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 19:20:15,2,,Linux - Chrome,0,0,0,0,classification
169,20251222_201951,uploads\inspect_20251222_201951.jpg,3,NOK - Schaar weg,0.9138393998146057,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 19:19:51,2,,Linux - Chrome,0,0,0,0,classification
168,20251222_201914,uploads\inspect_20251222_201914.jpg,4,NOK - Schaar en sleutel weg,0.507295548915863,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 19:19:14,2,,Linux - Chrome,0,0,0,0,classification
167,20251222_201837,uploads\inspect_20251222_201837.jpg,3,NOK - Schaar weg,0.5447654724121094,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 19:18:37,2,,Linux - Chrome,0,0,0,0,classification
166,20251222_201817,uploads\inspect_20251222_201817.jpg,3,NOK - Schaar weg,0.6892130970954895,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 19:18:17,2,,Linux - Chrome,0,0,0,0,classification
165,20251222_201758,uploads\inspect_20251222_201758.jpg,0,OK,0.4115831255912781,OK,[],,,,0,0,0,2025-12-22 19:17:58,2,,Linux - Chrome,0,0,0,0,classification
164,20251222_201737,uploads\inspect_20251222_201737.jpg,4,NOK - Schaar en sleutel weg,0.6445874571800232,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 19:17:37,2,,Linux - Chrome,0,0,0,0,classification
163,20251222_201719,uploads\inspect_20251222_201719.jpg,0,OK,0.5328704118728638,OK,[],,,,0,0,0,2025-12-22 19:17:19,2,,Linux - Chrome,0,0,0,0,classification
162,20251222_201610,uploads\inspect_20251222_201610.jpg,6,NOK - Alleen sleutel,0.9998325109481812,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-22 19:16:10,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
161,20251222_201551,uploads\inspect_20251222_201551.jpg,1,NOK - Alles weg,0.9774327278137207,NOK,"[""hamer"", ""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 19:15:51,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
160,20251222_201524,uploads\inspect_20251222_201524.jpg,2,NOK - Hamer weg,0.43357253074645996,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:15:24,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
159,20251222_201459,uploads\inspect_20251222_201459.jpg,0,OK,0.9663917422294617,OK,[],,,,0,0,0,2025-12-22 19:14:59,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
158,20251222_201411,uploads\inspect_20251222_201411.jpg,0,OK,0.8837041854858398,OK,[],,,,0,0,0,2025-12-22 19:14:12,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
157,20251222_201345,uploads\inspect_20251222_201345.jpg,2,NOK - Hamer weg,0.4750704765319824,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:13:45,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
156,20251222_201325,uploads\inspect_20251222_201325.jpg,0,OK,0.9674974083900452,OK,[],,,,0,0,0,2025-12-22 19:13:25,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
155,20251222_201153,uploads\inspect_20251222_201153.jpg,0,OK,0.8244713544845581,OK,[],,,,0,0,0,2025-12-22 19:11:53,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
154,20251222_201103,uploads\inspect_20251222_201103.jpg,0,OK,0.5961735844612122,OK,[],,,,0,0,0,2025-12-22 19:11:04,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
153,20251222_201007,uploads\inspect_20251222_201007.jpg,2,NOK - Hamer weg,0.8914861083030701,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:10:07,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
152,20251222_200947,uploads\inspect_20251222_200947.jpg,2,NOK - Hamer weg,0.8417251706123352,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:09:48,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
151,20251222_200658,uploads\inspect_20251222_200658.jpg,2,NOK - Hamer weg,0.6969107985496521,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:06:58,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
150,20251222_200442,uploads\inspect_20251222_200442.jpg,0,OK,0.7660887837409973,OK,[],,,,0,0,0,2025-12-22 19:04:42,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
149,20251222_200308,uploads\inspect_20251222_200308.jpg,2,NOK - Hamer weg,0.40586599707603455,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:03:08,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
148,20251222_200217,uploads\inspect_20251222_200217.jpg,2,NOK - Hamer weg,0.5872499346733093,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:02:17,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
